File,Model,RMSE,MAE,R2
1,Ridge,7.5193775747461356,5.736463270171377,0.9545949868691758
1,Random Forest,8.484566383118196,6.394744031247789,0.9421904852729112
1,LightGBM,8.318854517415128,6.317731789151057,0.9444265858454304
1,LSTM,7.215708109609273,5.505115517229248,0.9581882896213698
1,GRU,7.290237514462545,5.527479878372515,0.9573201017422424
1,Transformer,8.863041144891781,6.756928349240635,0.9369179859538724
2,Ridge,7.537565811798458,5.629176697762146,0.9409975376245168
2,Random Forest,8.231341862294427,6.018234291858766,0.9296362169871358
2,LightGBM,8.129374547034987,5.956540441551647,0.931368708852088
2,LSTM,7.097590238465046,5.2648106073406655,0.9476845761601195
2,GRU,7.113270536739982,5.306033082407693,0.9474531659019562
2,Transformer,8.465354532560974,6.231478513046291,0.9255785367010643
3,Ridge,8.487221602476291,6.290633785335422,0.9642171318995091
3,Random Forest,9.383622925822431,6.843044080148537,0.9562593573774207
3,LightGBM,9.298970594942476,6.7936131488374745,0.9570449911593641
3,LSTM,7.932055638802301,5.823008341241177,0.9687452832285104
3,GRU,8.011541549945443,5.88507450794435,0.9681157472805934
3,Transformer,9.64684205906344,7.097960087449662,0.9537710105155445
